Fecha,PCR+
2020-02-25,2
2020-02-26,7
2020-02-27,11
2020-02-28,24
2020-02-29,34
2020-03-01,60
2020-03-02,107
2020-03-03,156
2020-03-04,222
2020-03-05,344
2020-03-06,553
2020-03-07,796
2020-03-08,1079
2020-03-09,1615
2020-03-10,2364
2020-03-11,3180
2020-03-12,4024
2020-03-13,5040
2020-03-14,5984
2020-03-15,6830
2020-03-16,8141
2020-03-17,10160
2020-03-18,11984
2020-03-19,14103
2020-03-20,16518
2020-03-21,18243
2020-03-22,19789
2020-03-23,22544
2020-03-24,25596
2020-03-25,28680
2020-03-26,32185
2020-03-27,34674
2020-03-28,35753
2020-03-29,36655
2020-03-30,39313
2020-03-31,41241
2020-04-01,43144
2020-04-02,45085
2020-04-03,46967
2020-04-04,47913
2020-04-05,48492
2020-04-06,50221
2020-04-07,51795
2020-04-08,53380
2020-04-09,54467
2020-04-10,55462
2020-04-11,56082
2020-04-12,56489
2020-04-13,57694
2020-04-14,59030
2020-04-15,60161
2020-04-16,61196
2020-04-17,62242
2020-04-18,62840
2020-04-19,63104
2020-04-20,63958
2020-04-21,64859
2020-04-22,65827
2020-04-23,66533
2020-04-24,67458
2020-04-25,67848
2020-04-26,68064
2020-04-27,69016
2020-04-28,69912
2020-04-29,70740
2020-04-30,71402
2020-05-01,71689
2020-05-02,71883
2020-05-03,72073
2020-05-04,72809
2020-05-05,73557
2020-05-06,74233
2020-05-07,74810
2020-05-08,75374
2020-05-09,75550
2020-05-10,75677
2020-05-11,76308
2020-05-12,76890
2020-05-13,77487
2020-05-14,78137
2020-05-15,78519
2020-05-16,78616
2020-05-17,78737
2020-05-18,79205
2020-05-19,79724
2020-05-20,80287
2020-05-21,80685
2020-05-22,81171
2020-05-23,81318
2020-05-24,81412
2020-05-25,81770
2020-05-26,82318
2020-05-27,82856
2020-05-28,83385
2020-05-29,83883
2020-05-30,84071
2020-05-31,84221
2020-06-01,84647
2020-06-02,85179
2020-06-03,85735
2020-06-04,86190
2020-06-05,86680
2020-06-06,86900
2020-06-07,86980
2020-06-08,87340
2020-06-09,87739
2020-06-10,88100
2020-06-11,88522
2020-06-12,88969
2020-06-13,89112
2020-06-14,89167
2020-06-15,89559
2020-06-16,89941
2020-06-17,90313
2020-06-18,90712
2020-06-19,91174
2020-06-20,91310
2020-06-21,91394
2020-06-22,91594
2020-06-23,91945
2020-06-24,92309
2020-06-25,92656
2020-06-26,93043
2020-06-27,93180
2020-06-28,93241
2020-06-29,93462
2020-06-30,93812
2020-07-01,94080
2020-07-02,94364
2020-07-03,94716
2020-07-04,94813
2020-07-05,94870
2020-07-06,95049
2020-07-07,95365
2020-07-08,95636
2020-07-09,95906
2020-07-10,96315
2020-07-11,96434
2020-07-12,96503
2020-07-13,96714
2020-07-14,97121
2020-07-15,97452
2020-07-16,97722
2020-07-17,98169
2020-07-18,98323
2020-07-19,98406
2020-07-20,98680
2020-07-21,99126
2020-07-22,99530
2020-07-23,99957
2020-07-24,100654
2020-07-25,100895
2020-07-26,101044
2020-07-27,101454
2020-07-28,102240
2020-07-29,102972
2020-07-30,103907
2020-07-31,105209
2020-08-01,105594
2020-08-02,105823
2020-08-03,106499
2020-08-04,107932
2020-08-05,109217
2020-08-06,110675
2020-08-07,112643
2020-08-08,113256
2020-08-09,113647
2020-08-10,114516
2020-08-11,116940
2020-08-12,119068
2020-08-13,121459
2020-08-14,124680
2020-08-15,125589
2020-08-16,126106
2020-08-17,127352
2020-08-18,130770
2020-08-19,134049
2020-08-20,137197
2020-08-21,141690
2020-08-22,142944
2020-08-23,143603
2020-08-24,144993
2020-08-25,149055
2020-08-26,152567
2020-08-27,155932
2020-08-28,160449
2020-08-29,161603
2020-08-30,162534
2020-08-31,164035
2020-09-01,168096
2020-09-02,171727
2020-09-03,175335
2020-09-04,180300
2020-09-05,181918
2020-09-06,182953
2020-09-07,184756
2020-09-08,189512
2020-09-09,194238
2020-09-10,198739
2020-09-11,204738
2020-09-12,206704
2020-09-13,208107
2020-09-14,210384
2020-09-15,216217
2020-09-16,221540
2020-09-17,226737
2020-09-18,233729
2020-09-19,235432
2020-09-20,236504
2020-09-21,238654
2020-09-22,243581
2020-09-23,248094
2020-09-24,252256
2020-09-25,257396
2020-09-26,258730
2020-09-27,259600
2020-09-28,261290
2020-09-29,265333
2020-09-30,268700
2020-10-01,271549
2020-10-02,275186
2020-10-03,276097
2020-10-04,276541
2020-10-05,278602
2020-10-06,281616
2020-10-07,284391
2020-10-08,287075
2020-10-09,289907
2020-10-10,290521
2020-10-11,291048
2020-10-12,291562
2020-10-13,294107
2020-10-14,296774
2020-10-15,299191
2020-10-16,301801
2020-10-17,302387
2020-10-18,302791
2020-10-19,304934
2020-10-20,307358
2020-10-21,309622
2020-10-22,311699
2020-10-23,313974
2020-10-24,314468
2020-10-25,314871
2020-10-26,316781
2020-10-27,318807
2020-10-28,320640
2020-10-29,322484
2020-10-30,324496
2020-10-31,324937
2020-11-01,325314
2020-11-02,325752
2020-11-03,327666
2020-11-04,329519
2020-11-05,331115
2020-11-06,332798
2020-11-07,333206
2020-11-08,333524
2020-11-09,334334
2020-11-10,335726
2020-11-11,336990
2020-11-12,338039
2020-11-13,338926
