,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04
2020-02-25,2.0,2.0,2.0,2.0,2
2020-02-26,7.0,7.0,7.0,7.0,7
2020-02-27,12.0,12.0,12.0,12.0,12
2020-02-28,25.0,25.0,25.0,25.0,25
2020-02-29,36.0,36.0,36.0,36.0,36
2020-03-01,62.0,62.0,62.0,62.0,62
2020-03-02,109.0,109.0,109.0,109.0,109
2020-03-03,158.0,158.0,158.0,158.0,158
2020-03-04,224.0,224.0,224.0,224.0,224
2020-03-05,346.0,346.0,346.0,346.0,346
2020-03-06,556.0,556.0,556.0,556.0,556
2020-03-07,800.0,800.0,800.0,800.0,800
2020-03-08,1083.0,1083.0,1083.0,1083.0,1084
2020-03-09,1619.0,1619.0,1620.0,1620.0,1621
2020-03-10,2370.0,2370.0,2371.0,2372.0,2374
2020-03-11,3190.0,3190.0,3191.0,3192.0,3194
2020-03-12,4037.0,4036.0,4038.0,4039.0,4041
2020-03-13,5056.0,5057.0,5059.0,5061.0,5063
2020-03-14,6003.0,6004.0,6006.0,6009.0,6011
2020-03-15,6849.0,6850.0,6852.0,6855.0,6857
2020-03-16,8162.0,8163.0,8165.0,8168.0,8170
2020-03-17,10184.0,10186.0,10188.0,10191.0,10193
2020-03-18,12007.0,12011.0,12013.0,12016.0,12018
2020-03-19,14126.0,14131.0,14133.0,14136.0,14138
2020-03-20,16544.0,16549.0,16550.0,16555.0,16557
2020-03-21,18271.0,18277.0,18277.0,18282.0,18284
2020-03-22,19817.0,19823.0,19823.0,19828.0,19830
2020-03-23,22623.0,22629.0,22629.0,22634.0,22636
2020-03-24,25628.0,25634.0,25634.0,25639.0,25642
2020-03-25,28716.0,28723.0,28723.0,28729.0,28732
2020-03-26,32222.0,32229.0,32229.0,32235.0,32238
2020-03-27,34716.0,34723.0,34723.0,34729.0,34732
2020-03-28,35796.0,35803.0,35803.0,35810.0,35813
2020-03-29,36698.0,36705.0,36706.0,36713.0,36716
2020-03-30,39360.0,39366.0,39367.0,39375.0,39378
2020-03-31,41293.0,41299.0,41301.0,41308.0,41313
2020-04-01,43203.0,43209.0,43211.0,43218.0,43224
2020-04-02,45146.0,45153.0,45155.0,45163.0,45169
2020-04-03,47034.0,47041.0,47044.0,47053.0,47059
2020-04-04,47982.0,47989.0,47992.0,48001.0,48007
2020-04-05,48561.0,48568.0,48571.0,48579.0,48585
2020-04-06,50298.0,50306.0,50310.0,50317.0,50324
2020-04-07,51879.0,51887.0,51891.0,51898.0,51905
2020-04-08,53471.0,53479.0,53483.0,53490.0,53497
2020-04-09,54564.0,54572.0,54576.0,54583.0,54590
2020-04-10,55565.0,55574.0,55578.0,55586.0,55593
2020-04-11,56187.0,56196.0,56200.0,56208.0,56215
2020-04-12,56595.0,56604.0,56608.0,56616.0,56623
2020-04-13,57803.0,57812.0,57817.0,57826.0,57833
2020-04-14,59147.0,59156.0,59161.0,59170.0,59178
2020-04-15,60284.0,60295.0,60302.0,60310.0,60320
2020-04-16,61328.0,61341.0,61348.0,61356.0,61366
2020-04-17,62388.0,62401.0,62410.0,62418.0,62429
2020-04-18,62990.0,63003.0,63012.0,63020.0,63031
2020-04-19,63256.0,63269.0,63278.0,63287.0,63298
2020-04-20,64120.0,64133.0,64143.0,64153.0,64165
2020-04-21,65034.0,65047.0,65058.0,65069.0,65081
2020-04-22,66018.0,66032.0,66043.0,66055.0,66069
2020-04-23,66741.0,66757.0,66768.0,66780.0,66794
2020-04-24,67678.0,67694.0,67706.0,67720.0,67734
2020-04-25,68073.0,68089.0,68101.0,68116.0,68130
2020-04-26,68293.0,68309.0,68321.0,68336.0,68350
2020-04-27,69259.0,69277.0,69289.0,69303.0,69321
2020-04-28,70179.0,70198.0,70211.0,70228.0,70246
2020-04-29,71031.0,71050.0,71064.0,71083.0,71103
2020-04-30,71715.0,71735.0,71751.0,71771.0,71792
2020-05-01,72005.0,72027.0,72043.0,72063.0,72086
2020-05-02,72200.0,72222.0,72238.0,72258.0,72281
2020-05-03,72396.0,72418.0,72434.0,72454.0,72477
2020-05-04,73150.0,73172.0,73188.0,73211.0,73235
2020-05-05,73910.0,73932.0,73949.0,73973.0,73998
2020-05-06,74615.0,74639.0,74656.0,74681.0,74707
2020-05-07,75214.0,75238.0,75255.0,75281.0,75307
2020-05-08,75802.0,75827.0,75844.0,75873.0,75905
2020-05-09,75981.0,76006.0,76024.0,76053.0,76085
2020-05-10,76112.0,76137.0,76155.0,76184.0,76216
2020-05-11,76759.0,76785.0,76804.0,76833.0,76865
2020-05-12,77366.0,77392.0,77413.0,77443.0,77477
2020-05-13,77980.0,78008.0,78030.0,78063.0,78098
2020-05-14,78657.0,78686.0,78709.0,78744.0,78781
2020-05-15,79056.0,79086.0,79112.0,79147.0,79185
2020-05-16,79155.0,79185.0,79211.0,79246.0,79285
2020-05-17,79282.0,79312.0,79340.0,79375.0,79414
2020-05-18,79759.0,79791.0,79819.0,79854.0,79894
2020-05-19,80303.0,80336.0,80365.0,80403.0,80446
2020-05-20,80889.0,80923.0,80955.0,80994.0,81039
2020-05-21,81303.0,81340.0,81374.0,81415.0,81462
2020-05-22,81808.0,81846.0,81881.0,81922.0,81973
2020-05-23,81961.0,82000.0,82035.0,82078.0,82132
2020-05-24,82058.0,82097.0,82132.0,82175.0,82230
2020-05-25,82437.0,82480.0,82516.0,82559.0,82615
2020-05-26,83011.0,83055.0,83093.0,83136.0,83194
2020-05-27,83563.0,83610.0,83650.0,83695.0,83757
2020-05-28,84103.0,84152.0,84195.0,84245.0,84308
2020-05-29,84628.0,84677.0,84721.0,84773.0,84839
2020-05-30,84824.0,84874.0,84918.0,84970.0,85036
2020-05-31,84976.0,85026.0,85070.0,85122.0,85189
2020-06-01,85414.0,85465.0,85513.0,85566.0,85635
2020-06-02,85965.0,86020.0,86070.0,86123.0,86196
2020-06-03,86542.0,86600.0,86651.0,86704.0,86778
2020-06-04,87021.0,87083.0,87134.0,87191.0,87267
2020-06-05,87533.0,87596.0,87650.0,87709.0,87787
2020-06-06,87760.0,87824.0,87879.0,87939.0,88020
2020-06-07,87843.0,87908.0,87963.0,88023.0,88104
2020-06-08,88209.0,88275.0,88331.0,88392.0,88474
2020-06-09,88620.0,88689.0,88747.0,88811.0,88895
2020-06-10,89020.0,89090.0,89148.0,89213.0,89298
2020-06-11,89461.0,89533.0,89594.0,89659.0,89744
2020-06-12,89939.0,90015.0,90077.0,90143.0,90230
2020-06-13,90086.0,90162.0,90225.0,90293.0,90380
2020-06-14,90145.0,90221.0,90284.0,90352.0,90439
2020-06-15,90554.0,90631.0,90696.0,90768.0,90856
2020-06-16,90950.0,91029.0,91094.0,91166.0,91256
2020-06-17,91343.0,91424.0,91489.0,91562.0,91652
2020-06-18,91781.0,91865.0,91931.0,92009.0,92102
2020-06-19,92271.0,92359.0,92427.0,92508.0,92601
2020-06-20,92413.0,92501.0,92569.0,92650.0,92744
2020-06-21,92501.0,92589.0,92657.0,92738.0,92832
2020-06-22,92718.0,92806.0,92875.0,92956.0,93052
2020-06-23,93092.0,93182.0,93251.0,93334.0,93431
2020-06-24,93480.0,93573.0,93642.0,93726.0,93827
2020-06-25,93847.0,93940.0,94011.0,94096.0,94198
2020-06-26,94255.0,94349.0,94423.0,94510.0,94613
2020-06-27,94401.0,94495.0,94569.0,94657.0,94760
2020-06-28,94465.0,94559.0,94633.0,94721.0,94826
2020-06-29,94695.0,94790.0,94864.0,94954.0,95059
2020-06-30,95067.0,95165.0,95239.0,95331.0,95437
2020-07-01,95354.0,95454.0,95529.0,95621.0,95731
