Fecha,PCR+
2020-02-25,2
2020-02-26,7
2020-02-27,11
2020-02-28,24
2020-02-29,34
2020-03-01,60
2020-03-02,107
2020-03-03,156
2020-03-04,222
2020-03-05,343
2020-03-06,552
2020-03-07,795
2020-03-08,1078
2020-03-09,1614
2020-03-10,2360
2020-03-11,3162
2020-03-12,3993
2020-03-13,5004
2020-03-14,5945
2020-03-15,6789
2020-03-16,8094
2020-03-17,10107
2020-03-18,11927
2020-03-19,14042
2020-03-20,16453
2020-03-21,18174
2020-03-22,19719
2020-03-23,22518
2020-03-24,25516
2020-03-25,28598
2020-03-26,32099
2020-03-27,34586
2020-03-28,35663
2020-03-29,36565
2020-03-30,39217
2020-03-31,41143
2020-04-01,43041
2020-04-02,44977
2020-04-03,46849
2020-04-04,47792
2020-04-05,48368
2020-04-06,50087
2020-04-07,51654
2020-04-08,53229
2020-04-09,54310
2020-04-10,55296
2020-04-11,55911
2020-04-12,56314
2020-04-13,57511
2020-04-14,58834
2020-04-15,59945
2020-04-16,60967
2020-04-17,61992
2020-04-18,62580
2020-04-19,62838
2020-04-20,63674
2020-04-21,64552
2020-04-22,65491
2020-04-23,66176
2020-04-24,67070
2020-04-25,67454
2020-04-26,67661
2020-04-27,68590
2020-04-28,69467
2020-04-29,70268
2020-04-30,70900
2020-05-01,71181
2020-05-02,71372
2020-05-03,71555
2020-05-04,72272
2020-05-05,72995
2020-05-06,73624
2020-05-07,74182
2020-05-08,74729
2020-05-09,74900
2020-05-10,75024
2020-05-11,75630
2020-05-12,76191
2020-05-13,76755
2020-05-14,77375
2020-05-15,77738
2020-05-16,77830
2020-05-17,77943
2020-05-18,78394
2020-05-19,78887
2020-05-20,79418
2020-05-21,79803
2020-05-22,80268
2020-05-23,80407
2020-05-24,80494
2020-05-25,80833
2020-05-26,81348
2020-05-27,81841
2020-05-28,82334
2020-05-29,82809
2020-05-30,82988
2020-05-31,83132
2020-06-01,83520
2020-06-02,84018
2020-06-03,84559
2020-06-04,84986
2020-06-05,85451
2020-06-06,85663
2020-06-07,85741
2020-06-08,86077
2020-06-09,86453
2020-06-10,86795
2020-06-11,87194
2020-06-12,87624
2020-06-13,87760
2020-06-14,87813
2020-06-15,88189
2020-06-16,88547
2020-06-17,88902
2020-06-18,89278
2020-06-19,89715
2020-06-20,89839
2020-06-21,89918
2020-06-22,90112
2020-06-23,90435
2020-06-24,90770
2020-06-25,91102
2020-06-26,91462
2020-06-27,91591
2020-06-28,91647
2020-06-29,91854
2020-06-30,92170
2020-07-01,92412
2020-07-02,92679
2020-07-03,93001
2020-07-04,93091
2020-07-05,93146
2020-07-06,93315
2020-07-07,93611
2020-07-08,93867
2020-07-09,94123
2020-07-10,94509
2020-07-11,94617
2020-07-12,94683
2020-07-13,94885
2020-07-14,95279
2020-07-15,95592
2020-07-16,95848
2020-07-17,96275
2020-07-18,96417
2020-07-19,96495
2020-07-20,96758
2020-07-21,97177
2020-07-22,97566
2020-07-23,97973
2020-07-24,98648
2020-07-25,98881
2020-07-26,99025
2020-07-27,99426
2020-07-28,100191
2020-07-29,100903
2020-07-30,101805
2020-07-31,103066
2020-08-01,103432
2020-08-02,103653
2020-08-03,104310
2020-08-04,105721
2020-08-05,106988
2020-08-06,108414
2020-08-07,110346
2020-08-08,110954
2020-08-09,111340
2020-08-10,112192
2020-08-11,114577
2020-08-12,116674
2020-08-13,119032
2020-08-14,122227
2020-08-15,123120
2020-08-16,123629
2020-08-17,124852
2020-08-18,128237
2020-08-19,131470
2020-08-20,134571
2020-08-21,139005
2020-08-22,140229
2020-08-23,140881
2020-08-24,142240
2020-08-25,146254
2020-08-26,149706
2020-08-27,153032
2020-08-28,157494
2020-08-29,158632
2020-08-30,159546
2020-08-31,161003
2020-09-01,164999
2020-09-02,168584
2020-09-03,172131
2020-09-04,177034
2020-09-05,178633
2020-09-06,179653
2020-09-07,181409
2020-09-08,186116
2020-09-09,190760
2020-09-10,195204
2020-09-11,201133
2020-09-12,203083
2020-09-13,204464
2020-09-14,206717
2020-09-15,212471
2020-09-16,217732
2020-09-17,222869
2020-09-18,229764
2020-09-19,231450
2020-09-20,232512
2020-09-21,234616
2020-09-22,239481
2020-09-23,243922
2020-09-24,248026
2020-09-25,253081
2020-09-26,254387
2020-09-27,255243
2020-09-28,256896
2020-09-29,260885
2020-09-30,264208
2020-10-01,266992
2020-10-02,270512
2020-10-03,271408
2020-10-04,271842
2020-10-05,273867
2020-10-06,276800
2020-10-07,279519
2020-10-08,282127
2020-10-09,284905
2020-10-10,285505
2020-10-11,286013
2020-10-12,286510
2020-10-13,288985
2020-10-14,291591
2020-10-15,293938
2020-10-16,296459
2020-10-17,297012
2020-10-18,297379
2020-10-19,299449
2020-10-20,301725
2020-10-21,303885
2020-10-22,305780
2020-10-23,307859
2020-10-24,308296
2020-10-25,308642
2020-10-26,310354
2020-10-27,312146
2020-10-28,313665
2020-10-29,315124
2020-10-30,316382
