,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
2020-09-01,,1104.0,1076.0,305.0,0.0,0.0,894.0,20.0,11.0,19.0,17.0,0.0,0.0,42.0,9.0,9.0,13.0,18.0,0.0,0.0,38.0,13.0,10.0,9.0,5.0,0.0,0.0,42.0,5.0,63.0,84.0,12.0,0.0,0.0,28.0,6.0,7.0,8.0,8.0,0.0,0.0,0.0,17.0,6.0,6.0,11.0,0.0,0.0,8.0,4.0,9.0,12.0,4.0,0.0,0.0,6.0,7.0,6.0,5.0,10.0,0.0,0.0,14.0,1.0,7.0,12.0,6.0,0.0,0.0,13.0,3.0,7.0,6.0,4.0,0.0,0.0,5.0,2.0,1.0,7.0,4.0,0.0,0.0,7.0
2020-09-02,0.0,941.0,799.0,0.0,0.0,1174.0,114.0,11.0,32.0,14.0,0.0,0.0,31.0,13.0,8.0,11.0,17.0,0.0,0.0,34.0,5.0,8.0,11.0,4.0,0.0,0.0,46.0,5.0,55.0,70.0,13.0,0.0,0.0,14.0,9.0,9.0,14.0,11.0,0.0,0.0,0.0,12.0,7.0,8.0,6.0,0.0,0.0,8.0,3.0,9.0,11.0,6.0,0.0,0.0,13.0,5.0,5.0,6.0,6.0,0.0,0.0,8.0,2.0,4.0,7.0,7.0,0.0,0.0,9.0,5.0,2.0,3.0,2.0,0.0,0.0,10.0,2.0,2.0,4.0,5.0,0.0,0.0,10.0,0.0
2020-09-03,0.0,1150.0,0.0,0.0,1073.0,624.0,148.0,43.0,10.0,0.0,0.0,22.0,9.0,4.0,12.0,17.0,0.0,0.0,26.0,9.0,8.0,8.0,9.0,0.0,0.0,29.0,5.0,53.0,72.0,8.0,0.0,0.0,22.0,4.0,10.0,5.0,11.0,0.0,0.0,0.0,19.0,7.0,6.0,4.0,0.0,0.0,8.0,4.0,11.0,8.0,19.0,0.0,0.0,12.0,4.0,23.0,21.0,5.0,0.0,0.0,6.0,4.0,14.0,8.0,4.0,0.0,0.0,4.0,2.0,3.0,6.0,3.0,0.0,0.0,15.0,3.0,3.0,6.0,2.0,0.0,0.0,4.0,3.0,0.0
2020-09-04,0.0,0.0,0.0,2593.0,428.0,420.0,496.0,251.0,0.0,0.0,167.0,7.0,15.0,16.0,22.0,0.0,0.0,50.0,6.0,11.0,13.0,10.0,0.0,0.0,30.0,6.0,71.0,87.0,11.0,0.0,0.0,24.0,7.0,12.0,10.0,6.0,0.0,0.0,0.0,21.0,2.0,7.0,7.0,0.0,0.0,17.0,4.0,17.0,6.0,7.0,0.0,0.0,12.0,7.0,6.0,8.0,7.0,0.0,0.0,9.0,2.0,11.0,5.0,4.0,0.0,0.0,11.0,5.0,6.0,8.0,3.0,0.0,0.0,6.0,2.0,6.0,1.0,4.0,0.0,0.0,8.0,3.0,0.0,0.0
2020-09-05,0.0,0.0,1035.0,209.0,118.0,43.0,16.0,0.0,0.0,40.0,6.0,6.0,4.0,10.0,0.0,0.0,17.0,2.0,5.0,3.0,3.0,0.0,0.0,10.0,5.0,5.0,4.0,3.0,0.0,0.0,7.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,9.0,3.0,2.0,2.0,0.0,0.0,5.0,2.0,4.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
2020-09-06,0.0,560.0,285.0,33.0,30.0,5.0,0.0,0.0,27.0,7.0,3.0,1.0,6.0,0.0,0.0,10.0,1.0,3.0,0.0,1.0,0.0,0.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2020-09-07,0.0,774.0,240.0,340.0,94.0,0.0,0.0,113.0,9.0,7.0,8.0,6.0,0.0,0.0,25.0,10.0,4.0,7.0,2.0,0.0,0.0,19.0,1.0,6.0,16.0,4.0,0.0,0.0,5.0,1.0,4.0,4.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,0.0,0.0,3.0,1.0,7.0,3.0,3.0,0.0,0.0,10.0,3.0,4.0,2.0,3.0,0.0,0.0,6.0,3.0,7.0,3.0,4.0,0.0,0.0,3.0,1.0,4.0,11.0,4.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-08,0.0,1390.0,1171.0,468.0,0.0,0.0,1065.0,78.0,10.0,18.0,13.0,0.0,0.0,45.0,10.0,12.0,14.0,8.0,0.0,0.0,35.0,6.0,94.0,93.0,8.0,0.0,0.0,14.0,2.0,5.0,5.0,4.0,0.0,0.0,0.0,22.0,5.0,9.0,9.0,0.0,0.0,11.0,7.0,13.0,11.0,4.0,0.0,0.0,21.0,6.0,3.0,8.0,6.0,0.0,0.0,8.0,0.0,5.0,6.0,5.0,0.0,0.0,13.0,2.0,6.0,3.0,3.0,0.0,0.0,3.0,4.0,6.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-09,0.0,1236.0,1258.0,0.0,0.0,1241.0,388.0,46.0,35.0,22.0,0.0,0.0,34.0,14.0,8.0,13.0,7.0,0.0,0.0,27.0,16.0,63.0,73.0,10.0,0.0,0.0,18.0,6.0,12.0,9.0,3.0,0.0,0.0,0.0,12.0,5.0,10.0,10.0,0.0,0.0,13.0,2.0,8.0,7.0,6.0,0.0,0.0,10.0,6.0,5.0,3.0,3.0,0.0,0.0,6.0,2.0,14.0,21.0,2.0,0.0,0.0,8.0,5.0,7.0,12.0,4.0,0.0,0.0,8.0,5.0,3.0,9.0,4.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-10,0.0,974.0,0.0,0.0,1867.0,526.0,494.0,55.0,25.0,0.0,0.0,42.0,11.0,9.0,12.0,12.0,0.0,0.0,35.0,10.0,98.0,113.0,12.0,0.0,0.0,15.0,5.0,10.0,4.0,8.0,0.0,0.0,0.0,22.0,6.0,4.0,7.0,0.0,0.0,6.0,1.0,8.0,6.0,7.0,0.0,0.0,13.0,2.0,9.0,5.0,6.0,0.0,0.0,9.0,1.0,2.0,9.0,7.0,0.0,0.0,5.0,7.0,6.0,3.0,8.0,0.0,0.0,6.0,3.0,4.0,3.0,4.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
