Codigo	Fecha
77	16/4/20
78	17/4/20
79	18/4/20
80	19/4/20
81	20/4/20
82	21/4/20
83	22/4/20
84	23/4/20
85	24/4/20
86	25/4/20
87	26/4/20
88	27/4/20
89	28/4/20
90	29/4/20
91	30/4/20
92	1/5/20
93	2/5/20
94	3/5/20
95	4/5/20
96	5/5/20
97	6/5/20
98	7/5/20
99	8/5/20
100	9/5/20
101	10/5/20
102	11/5/20
103	12/5/20
104	13/5/20
105	14/5/20
106	15/5/20
107	16/5/20
108	17/5/20
109	18/5/20
110	19/5/20
111	20/5/20
112	21/5/20
113	22/5/20
114	23/5/20
115	24/5/20
116	25/5/20
117	26/5/20
118	27/5/20
119	28/5/20
120	29/5/20
121	30/5/20
122	31/5/20
123	1/6/20
124	2/6/20
125	3/6/20
126	4/6/20
127	5/6/20
128	6/6/20
129	7/6/20
130	8/6/20
131	9/6/20
132	10/6/20
133	11/6/20
134	12/6/20
135	13/6/20
136	14/6/20
137	15/6/20
138	16/6/20
139	17/6/20
140	18/6/20
141	19/6/20
142	20/6/20
143	21/6/20
144	22/6/20
145	23/6/20
146	24/6/20
147	25/6/20
148	26/6/20
149	27/6/20
150	28/6/20
151	29/6/20
152	30/6/20
153	1/7/20
154	2/7/20
155	3/7/20
156	6/7/20
157	7/7/20
158	8/7/20
159	9/7/20
160	10/7/20
161	13/7/20
162	14/7/20
163	15/7/20
164	16/7/20
165	17/7/20
166	20/7/20
167	21/7/20
168	22/7/20
169	23/7/20
170	24/7/20
171	27/7/20
172	28/7/20
173	29/7/20
174	30/7/20
175	31/7/20
176	3/8/20
177	4/8/20
178	5/8/20
179	6/8/20
180	7/8/20
181	10/8/20
182	11/8/20
183	12/8/20
184	13/8/20
185	14/8/20
186	17/8/20
187	18/8/20
188	19/8/20
189	20/8/20
190	21/8/20
191	24/8/20
192	25/8/20
193	26/8/20
194	27/8/20
195	28/8/20
196	31/8/20
197	1/9/20
198	2/9/20
199	3/9/20
200	4/9/20
201	7/9/20
202	8/9/20
203	9/9/20
204	10/9/20
205	11/9/20
206	14/9/20
207	15/9/20
208	16/9/20
209	17/9/20
210	18/9/20
211	21/9/20
212	22/9/20
213	23/9/20
214	24/9/20
215	25/9/20
216	28/9/20
217	29/9/20
218	30/9/20
219	1/10/20
220	2/10/20
221	5/10/20
222	6/10/20
223	7/10/20
224	8/10/20
225	9/10/20
226	12/10/20
227	13/10/20
228	14/10/20
229	15/10/20
230	16/10/20
231	19/10/20
232	20/10/20
233	21/10/20
234	22/10/20
235	23/10/20
236	26/10/20
237	27/10/20
238	28/10/20
239	29/10/20
240	30/10/20
241	2/11/20
242	3/11/20
243	4/11/20
244	5/11/20
245	6/11/20
246	9/11/20
247	10/11/20
248	11/11/20
249	12/11/20
250	13/11/20
251	16/11/20
252	17/11/20
253	18/11/20
254	19/11/20
255	20/11/20
