fecha,ccaa,Casos totales,Casos diag día previo,Casos diag ultimos 14 días: n,Casos diag ultimos 14 días: IA,Casos diag ultimos 7 días: n,Casos diag ultimos 7 días: IA,Casos diag fecha sintomas 14 días:n,Casos diag fecha sintomas 14 días:IA,Casos diag fecha sintomas 7 días:n,Casos diag fecha sintomas 7 días:IA
2020-08-10,Andalucía,17.473 ,133 ,2.805 ,"33,34 ",1.682 ,"19,99 ",942 ,"11,20 ",353 ,"4,20 "
2020-08-10,Aragón,18.388 ,348 ,7.139 ,"541,12 ",3.166 ,"239,98 ",1.972 ,"149,47 ",312 ,"23,65 "
2020-08-10,Asturias,2.701 ,16 ,236 ,"23,07 ",148 ,"14,47 ",61 ,"5,96 ",28 ,"2,74 "
2020-08-10,Baleares,3.143 ,1 ,691 ,"60,12 ",366 ,"31,84 ",369 ,"32,10 ",104 ,"9,05 "
2020-08-10,Canarias,2.955 ,50 ,347 ,"16,11 ",268 ,"12,45 ",211 ,"9,80 ",148 ,"6,87 "
2020-08-10,Cantabria,2.746 ,29 ,310 ,"53,35 ",214 ,"36,83 ",116 ,"19,96 ",54 ,"9,29 "
2020-08-10,Castilla La Mancha,19.267 ,13 ,676 ,"33,25 ",390 ,"19,18 ",327 ,"16,09 ",125 ,"6,15 "
2020-08-10,Castilla y León,21.394 ,5 ,1.295 ,"53,97 ",765 ,"31,88 ",376 ,"15,67 ",102 ,"4,25 "
2020-08-10,Cataluña,88.572 ,76 ,12.106 ,"157,73 ",5.459 ,"71,13 ",3.707 ,"48,30 ",922 ,"12,01 "
2020-08-10,Ceuta,167 ,0 ,3 ,"3,54 ",1 ,"1,18 ",1 ,"1,18 ",1 ,"1,18 "
2020-08-10,C. Valenciana,15.411 ,29 ,2.435 ,"48,66 ",1.257 ,"25,12 ",911 ,"18,21 ",207 ,"4,14 "
2020-08-10,Extremadura,3.613 ,7 ,299 ,"28,00 ",167 ,"15,64 ",104 ,"9,74 ",41 ,"3,84 "
2020-08-10,Galicia,10.245 ,46 ,614 ,"22,74 ",436 ,"16,15 ",120 ,"4,45 ",44 ,"1,63 "
2020-08-10,Madrid,83.120 ,224 ,8.342 ,"125,19 ",5.325 ,"79,91 ",1.807 ,"27,12 ",422 ,"6,33 "
2020-08-10,Melilla,162 ,5 ,33 ,"38,16 ",23 ,"26,59 ",15 ,"17,34 ",4 ,"4,62 "
2020-08-10,Murcia,2.964 ,5 ,805 ,"53,89 ",414 ,"27,71 ",425 ,"28,45 ",134 ,"8,97 "
