fecha,ccaa,Hosp_Totales,Hosp_7días,UCI_Totales,UCI_7dias,Hosp_actual,%CamasCovid,UCI_actual,%CamasUCI,Ingresos_24horas,Altas_24horas
2020-10-23,Andalucía,12.143,727,1.214,23,1.967 ,"11,95% ",251 ,"16,30% ",320,198
2020-10-23,Aragón,6.205,366,486,30,635 ,"15,31% ",83 ,"42,56% ",94,73
2020-10-23,Asturias,1.728,186,171,3,354 ,"10,93% ",40 ,"15,38% ",50,29
2020-10-23,Baleares,2.033,23,291,2,174 ,"5,68% ",41 ,"14,39% ",21,12
2020-10-23,Canarias,2182,95,423,23,349 ,"7,07% ",47 ,"11,16% ",22,21
2020-10-23,Cantabria,1.367,33,106,3,63 ,"4,04% ",12 ,"10,34% ",11,3
2020-10-23,Castilla La Mancha,10.759,89,751,5,735 ,"15,37% ",86 ,"22,51% ",78,65
2020-10-23,Castilla y León,13.156,791,981,41,1.360 ,"20,57% ",161 ,"35,23% ",201,122
2020-10-23,Cataluña,32.504,285,3.238,19,2.782 ,"11,17% ",384 ,"31,09% ",375,303
2020-10-23,Ceuta,67,6,13,1,30 ,"16,04% ",8 ,"47,06% ",4,2
2020-10-23,C. Valenciana,9.047,323,1045,33,862 ,"7,62% ",131 ,"12,97% ",134,79
2020-10-23,Extremadura,2.571,108,203,4,184 ,"6,09% ",27 ,"12,44% ",33,12
2020-10-23,Galicia,4.576,287,505,32,390 ,"4,73% ",50 ,"7,00% ",71,40
2020-10-23,Madrid,51.628,510,4.025,14,3.133 ,"19,59% ",494 ,"38,96% ",345,300
2020-10-23,Melilla,142,8,15,4,42 ,"23,73% ",8 ,"66,67% ",10,8
2020-10-23,Murcia,2775,225,399,34,409 ,"11,42% ",74 ,"18,27% ",73,49
2020-10-23,Navarra,3.289,219,245,18,366 ,"17,06% ",43 ,"32,33% ",69,31
2020-10-23,País Vasco,9.159,81,753,9,566 ,"11,87% ",69 ,"22,55% ",94,112
2020-10-23,La Rioja,2.055,77,164,14,138 ,"16,05% ",22 ,"36,67% ",19,13
2020-10-26,Andalucía,12.488,706,1.229,22,2.240 ,"13,83% ",282 ,"18,61% ",273,138
2020-10-26,Aragón,6.400,419,505,39,739 ,"17,90% ",83 ,"41,71% ",79,20
2020-10-26,Asturias,1.852,231,181,7,476 ,"14,67% ",50 ,"19,23% ",47,17
2020-10-26,Baleares,2.041,22,294,4,187 ,"6,16% ",47 ,"16,49% ",14,8
2020-10-26,Canarias,2205,79,429,15,258 ,"5,27% ",48 ,"11,51% ",5,1
2020-10-26,Cantabria,1.395,42,107,2,83 ,"5,35% ",14 ,"12,17% ",9,0
2020-10-26,Castilla La Mancha,10.799,82,754,3,796 ,"16,64% ",90 ,"23,08% ",85,47
2020-10-26,Castilla y León,13.502,835,1007,42,1.465 ,"21,91% ",178 ,"37,71% ",136,46
2020-10-26,Cataluña,32.654,254,3.249,19,3.322 ,"13,77% ",432 ,"34,12% ",327,170
2020-10-26,Ceuta,75,14,13,1,34 ,"18,48% ",8 ,"47,06% ",5,3
2020-10-26,C. Valenciana,9.191,316,1054,21,1.075 ,"9,42% ",144 ,"13,99% ",151,37
2020-10-26,Extremadura,2.655,143,208,7,306 ,"9,80% ",42 ,"18,83% ",24,5
2020-10-26,Galicia,4.717,328,522,38,450 ,"5,47% ",60 ,"8,40% ",64,28
2020-10-26,Madrid,51.895,428,4.034,13,3.176 ,"19,97% ",510 ,"40,28% ",188,129
2020-10-26,Melilla,146,5,15,1,52 ,"29,05% ",9 ,"64,29% ",7,2
2020-10-26,Murcia,2861,199,412,29,476 ,"13,29% ",76 ,"18,77% ",86,33
2020-10-26,Navarra,3.381,243,255,21,400 ,"18,79% ",50 ,"37,59% ",41,21
2020-10-26,País Vasco,9.182,33,758,5,332 ,"13,56% ",18 ,"12,41% ",30,24
2020-10-26,La Rioja,2.107,92,166,10,141 ,"16,40% ",22 ,"36,67% ",13,5
2020-10-27,Andalucía,12.661,717,1.242,27,2.277 ,"14,71% ",291 ,"20,24% ",370,293
2020-10-27,Aragón,6.477,445,508,35,775 ,"18,69% ",88 ,"42,11% ",103,50
2020-10-27,Asturias,1.902,246,182,7,479 ,"14,73% ",52 ,"20,00% ",63,37
2020-10-27,Baleares,2.073,47,296,5,182 ,"6,00% ",49 ,"17,31% ",24,26
2020-10-27,Canarias,2210,68,431,14,245 ,"5,00% ",48 ,"11,51% ",12,13
2020-10-27,Cantabria,1.407,51,108,2,88 ,"5,66% ",15 ,"13,04% ",22,10
2020-10-27,Castilla La Mancha,10.833,86,755,2,783 ,"16,37% ",93 ,"23,97% ",87,99
2020-10-27,Castilla y León,13.630,824,1011,34,1.487 ,"22,19% ",170 ,"36,56% ",165,139
2020-10-27,Cataluña,32.867,309,3.264,14,3.584 ,"14,21% ",460 ,"36,08% ",444,352
2020-10-27,Ceuta,76,14,13,1,34 ,"18,28% ",7 ,"41,18% ",3,2
2020-10-27,C. Valenciana,9.273,304,1059,20,1.098 ,"9,62% ",165 ,"15,96% ",179,120
2020-10-27,Extremadura,2.697,160,209,7,303 ,"9,64% ",40 ,"17,94% ",27,24
2020-10-27,Galicia,4.765,327,532,43,478 ,"5,79% ",71 ,"9,92% ",66,48
2020-10-27,Madrid,52.114,483,4.048,12,3.118 ,"19,48% ",507 ,"40,05% ",285,397
2020-10-27,Melilla,149,8,15,0,54 ,"30,17% ",9 ,"64,29% ",5,3
2020-10-27,Murcia,2899,192,416,29,484 ,"13,07% ",84 ,"15,97% ",87,82
2020-10-27,Navarra,3.426,249,259,25,393 ,"18,30% ",49 ,"36,84% ",43,49
2020-10-27,País Vasco,9.192,24,758,3,685 ,"13,90% ",72 ,"22,86% ",95,102
2020-10-27,La Rioja,2.138,104,172,12,149 ,"17,33% ",22 ,"36,67% ",21,17
2020-10-28,Andalucía,12.844,739,1.254,30,2.425 ,"14,46% ",313 ,"19,99% ",340,315
2020-10-28,Aragón,6.547,455,517,36,826 ,"19,78% ",92 ,"44,02% ",119,89
2020-10-28,Asturias,1.972,281,188,13,505 ,"14,96% ",61 ,"22,51% ",82,54
2020-10-28,Baleares,2.093,51,297,5,197 ,"5,98% ",52 ,"18,37% ",21,20
2020-10-28,Canarias,2219,70,430,12,235 ,"4,38% ",48 ,"10,84% ",13,17
2020-10-28,Cantabria,1.414,55,108,2,102 ,"6,51% ",16 ,"13,68% ",27,6
2020-10-28,Castilla La Mancha,10.865,79,757,3,817 ,"17,07% ",97 ,"24,94% ",113,82
2020-10-28,Castilla y León,13.769,819,1022,33,1.465 ,"21,80% ",171 ,"35,92% ",175,154
2020-10-28,Cataluña,33.004,300,3.273,13,3.700 ,"14,67% ",482 ,"37,57% ",493,378
2020-10-28,Ceuta,76,13,13,0,39 ,"20,97% ",7 ,"41,18% ",4,2
2020-10-28,C. Valenciana,9.429,395,1073,29,1.148 ,"10,07% ",173 ,"16,81% ",190,86
2020-10-28,Extremadura,2.723,169,214,12,323 ,"9,43% ",42 ,"18,26% ",48,22
2020-10-28,Galicia,4.811,326,539,47,479 ,"5,80% ",73 ,"10,20% ",69,58
2020-10-28,Madrid,52.290,511,4.057,15,3.016 ,"17,67% ",494 ,"38,90% ",324,333
2020-10-28,Melilla,153,12,15,0,52 ,"29,05% ",9 ,"64,29% ",6,8
2020-10-28,Murcia,2998,238,422,30,522 ,"12,39% ",84 ,"18,26% ",84,63
2020-10-28,Navarra,3.463,251,262,22,385 ,"17,88% ",50 ,"36,50% ",51,57
2020-10-28,País Vasco,9.197,6,759,2,687 ,"14,33% ",80 ,"25,32% ",110,104
2020-10-28,La Rioja,2.162,104,171,10,150 ,"17,44% ",24 ,"40,00% ",23,18
2020-10-29,Andalucía,12.998,726,1.263,35,2.543 ,"15,14% ",334 ,"21,26% ",443,285
2020-10-29,Aragón,6.619,449,521,33,852 ,"20,36% ",97 ,"46,41% ",116,76
2020-10-29,Asturias,2.039,313,196,21,528 ,"15,65% ",69 ,"25,46% ",84,61
2020-10-29,Baleares,2.116,57,300,5,209 ,"6,35% ",55 ,"19,43% ",24,17
