,IA14,IA7,IA14_65,IA7_65,positividad,trazabilidad,ocupacion_agudos,ocupacion_UCI
Coruña,211.0,92.8,188.8,93.7,7.2,69.0,5.1,8.8
Alacant/Alicante,250.1,108.2,226.2,99.4,13.7,64.6,8.2,26.1
Albacete,275.7,117.0,293.2,125.3,12.1,70.5,8.0,33.3
Almería,328.5,139.2,252.2,113.0,9.8,58.8,7.3,23.4
Araba/Álava,317.6,142.7,222.0,112.4,7.0,6.3,13.0,26.0
Asturias,391.4,164.2,496.9,203.9,5.7,32.8,23.2,38.1
Ávila,154.1,55.8,115.7,44.3,5.3,69.3,12.9,47.4
Badajoz,205.5,90.6,167.0,81.6,9.6,78.0,8.0,6.2
Barcelona,234.1,101.7,241.0,111.0,5.6,42.4,10.6,31.4
Bizkaia,344.6,141.7,311.7,120.8,7.6,4.8,14.8,27.9
Burgos,698.1,242.6,732.1,290.3,4.9,45.8,19.1,40.4
Cáceres,262.6,117.7,371.1,188.3,10.4,84.3,7.2,37.5
Cádiz,377.5,157.7,357.5,161.7,13.9,43.0,11.1,24.8
Cantabria,326.8,124.1,340.5,128.2,9.5,7.9,9.3,20.7
Castelló/Castellón,236.2,99.5,162.4,70.2,11.4,71.4,7.3,35.8
Ceuta,280.7,88.5,0.0,0.0,7.1,50.7,9.2,17.6
CiudadReal,273.5,122.4,226.3,106.2,10.5,75.5,9.2,28.7
Córdoba,262.7,111.8,258.9,132.4,10.7,57.0,7.8,21.2
Cuenca,477.8,192.5,452.5,192.6,15.3,77.8,10.3,13.5
ElHierro,NA,NA,NA,NA,5.7,NA,4.7,11.8
Formentera,57.8,8.3,155.1,0.0,6.8,0.0,6.3,18.7
Fuerteventura,39.4,22.2,49.7,16.6,2.8,73.1,2.2,7.1
Gipuzkoa,518.8,210.3,478.7,202.0,6.8,0.3,15.1,35.1
Girona,300.9,141.4,326.9,168.7,6.8,40.5,13.7,23.9
Gomera,60.5,51.2,79.0,79.0,5.7,72.7,4.7,11.8
Granada,406.4,133.5,382.7,119.9,14.6,50.4,20.7,45.5
GranCanaria,36.1,17.9,31.5,16.5,2.8,73.4,2.2,7.1
Guadalajara,197.5,88.1,228.5,134.7,9.6,78.0,15.0,44.2
Huelva,362.4,145.8,258.8,96.9,11.5,76.2,11.3,24.7
Huesca,368.8,120.7,268.0,92.0,13.7,51.9,13.1,65.5
Ibiza,149.0,61.3,104.6,65.4,6.8,60.2,6.3,18.7
Jaén,412.7,150.6,377.1,160.1,16.4,75.3,18.6,12.7
Lanzarote,36.0,19.2,15.5,15.5,2.8,79.2,2.2,7.1
LaPalma,25.9,7.0,33.9,16.9,5.7,57.1,4.7,11.8
LaRioja,389.8,175.5,357.5,175.0,7.6,64.6,13.3,51.7
León,363.7,136.7,341.6,140.5,14.2,56.1,13.8,21.8
Lleida,365.8,175.2,512.4,262.6,7.1,64.6,10.7,52.9
Lugo,228.2,84.0,278.4,73.7,5.6,72.2,3.0,7.2
Madrid,227.6,108.1,175.3,82.3,7.6,38.3,9.7,29.0
Málaga,208.0,88.2,214.8,90.6,10.3,52.7,9.5,10.8
Mallorca,230.6,122.3,191.3,96.0,6.8,60.6,6.3,18.7
Melilla,404.7,156.1,354.5,187.7,11.8,63.0,11.5,28.6
Menorca,89.9,56.7,67.0,46.9,6.8,69.8,6.3,18.7
Murcia,252.4,97.0,194.1,66.1,9.3,71.6,9.7,19.9
Navarra,264.1,115.7,186.9,68.9,6.1,76.1,8.5,14.3
Ourense,117.3,41.9,133.1,47.5,4.3,48.8,6.0,6.6
Palencia,536.1,209.3,808.3,333.9,11.7,73.6,17.2,47.5
Pontevedra,290.8,120.6,313.6,126.4,7.5,71.0,5.4,11.8
Salamanca,253.8,84.5,247.4,82.9,6.7,53.0,14.6,25.9
Segovia,175.0,94.0,188.1,127.3,8.5,56.2,4.6,25.0
Sevilla,249.2,80.5,231.5,71.6,9.7,56.9,6.9,27.0
Soria,393.7,132.0,479.3,177.5,6.3,79.5,10.2,29.4
Tarragona,189.4,77.9,223.6,108.9,7.0,29.8,6.7,35.7
Tenerife,132.5,66.1,111.6,62.3,5.7,67.7,4.7,11.8
Teruel,396.6,223.7,250.1,148.2,16.2,49.7,18.1,37.5
Toledo,311.7,141.9,367.7,168.4,13.8,66.2,16.0,31.2
València/Valencia,307.6,129.5,240.6,106.4,15.1,59.7,14.4,32.6
Valladolid,448.3,139.2,451.9,146.2,11.1,66.4,18.8,54.4
Zamora,472.4,168.7,423.4,120.4,13.5,76.6,22.6,61.9
Zaragoza,311.3,143.7,271.0,120.3,13.2,59.1,13.5,38.4
